Country,Area,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20
China,Hubei,258,270,375,375,,,,,,,,,,,,
,Unspecified 24 Provinces,,,131,384,,,,,,,,,,,,
,Guangdong,14,17,26,32,,,,,,,,,,,,
,Beijing,5,5,10,10,,,,,,,,,,,,
,Shanghai,1,2,9,9,,,,,,,,,,,,
,Chongqing,,1,5,5,,,,,,,,,,,,
,Zhejiang,,5,5,5,,,,,,,,,,,,
,Jiangxi,,2,2,2,,,,,,,,,,,,
,Sichuan,,1,2,2,,,,,,,,,,,,
,Tianjin,,2,2,2,,,,,,,,,,,,
,Henan,,1,1,1,,,,,,,,,,,,
,Hunan,,1,1,1,,,,,,,,,,,,
,Shangdong,,1,1,1,,,,,,,,,,,,
,Yunnan,,1,1,1,,,,,,,,,,,,
,Taiwan,,1,1,1,,,,,,,,,,,,
,Hongkong,,,1,2,,,,,,,,,,,,
,Macau,,,1,2,,,,,,,,,,,,
Japan,,1,1,1,1,,,,,,,,,,,,
Republic of Korea,,1,1,1,2,,,,,,,,,,,,
Thailand,,2,2,4,4,,,,,,,,,,,,
Viet Nam,,,,,2,,,,,,,,,,,,
Singapore,,,,,1,,,,,,,,,,,,
United States,,,,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Total,282,314,581,846,0,0,0,,,,,,,,,
